model,temperature,decoder,metric,configurations,pearson_r,spearman_rho,interpretation
Qwen/Qwen2.5-14B-Instruct,1.0,min_p,mean_mtld,3,0.9505305074568673,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,1.0,top_k,mean_ttr,4,0.6632635476225712,0.6,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,1.0,top_k,mean_mtld,4,0.062077806417124785,0.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,1.0,top_p,mean_ttr,4,0.9014921527811943,0.8,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,1.0,top_p,mean_mtld,4,0.9177490972656738,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,min_p,mean_ttr,3,0.6673719677331307,0.5,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,min_p,mean_mtld,3,0.06575726674119137,0.5,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,top_k,mean_ttr,4,0.40795093461220017,0.10540925533894598,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,top_k,mean_mtld,4,0.3742188021333124,-0.10540925533894598,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,top_p,mean_ttr,4,-0.34347103259287476,-0.6,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,0.7,top_p,mean_mtld,4,-0.4210567663960371,-0.6,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,min_p,mean_ttr,3,-0.24019223070763043,0.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,min_p,mean_mtld,3,0.7869389728913999,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,top_k,mean_ttr,4,0.8378884573859479,0.6324555320336759,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,top_k,mean_mtld,4,0.04474800622423892,0.31622776601683794,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,top_p,mean_ttr,4,0.7017112443720033,0.4,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B,1.0,top_p,mean_mtld,4,0.6586807642940434,0.4,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,min_p,mean_ttr,3,0.9680920846186294,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,min_p,mean_mtld,3,0.9053817437415211,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,top_k,mean_ttr,4,0.9181980504257,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,top_k,mean_mtld,4,0.9795559066283084,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,top_p,mean_ttr,4,0.7598884710175117,0.8,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,0.7,top_p,mean_mtld,4,0.5424598978452729,0.4,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,min_p,mean_ttr,3,0.9127626322791413,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,min_p,mean_mtld,3,0.9763825117123969,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,top_k,mean_ttr,4,0.9776683495421079,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,top_k,mean_mtld,4,0.9182762959481525,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,top_p,mean_ttr,4,0.9410162008552956,1.0,descriptive_only_n3_or_n4
Qwen/Qwen3.5-9B-Base,1.0,top_p,mean_mtld,4,0.9311877521113733,1.0,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,min_p,mean_ttr,3,-0.2661636551727051,-0.5,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,min_p,mean_mtld,3,0.9490078496295185,1.0,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,top_k,mean_ttr,4,-0.7510676161988139,-0.31622776601683794,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,top_k,mean_mtld,4,-0.5960326335999689,-0.31622776601683794,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,top_p,mean_ttr,4,0.5792121845144856,0.4,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.7,top_p,mean_mtld,4,0.6350836290317555,0.4,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,min_p,mean_ttr,3,0.9998852716402592,1.0,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,min_p,mean_mtld,3,0.9758131847993546,1.0,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,top_k,mean_ttr,4,-0.5188745216628327,-0.8,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,top_k,mean_mtld,4,0.8108325709585311,0.8,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,top_p,mean_ttr,4,0.9888872102458298,1.0,descriptive_only_n3_or_n4
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1.0,top_p,mean_mtld,4,0.9583102451112915,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,min_p,mean_ttr,3,0.6080345264039446,0.8660254037844387,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,min_p,mean_mtld,3,0.42628483654709637,0.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,top_k,mean_ttr,4,0.9672434635435203,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,top_k,mean_mtld,4,0.8804846497315427,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,top_p,mean_ttr,4,-0.45409190800589805,-0.4,descriptive_only_n3_or_n4
google/gemma-3-12b-it,0.7,top_p,mean_mtld,4,-0.3299241072738065,0.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,min_p,mean_ttr,3,0.7970167702187528,0.5,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,min_p,mean_mtld,3,0.8247606600151594,0.5,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,top_k,mean_ttr,4,0.12991283260541506,0.0,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,top_k,mean_mtld,4,0.5632402796902478,0.6,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,top_p,mean_ttr,4,0.9386871383530402,0.8,descriptive_only_n3_or_n4
google/gemma-3-12b-it,1.0,top_p,mean_mtld,4,0.9133890440482738,0.8,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,min_p,mean_ttr,3,0.9118191180700311,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,min_p,mean_mtld,3,0.9992325401907294,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,top_k,mean_ttr,4,0.8200470923531447,0.8,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,top_k,mean_mtld,4,0.8907750342474773,0.8,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,top_p,mean_ttr,4,0.9824146917826206,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,0.7,top_p,mean_mtld,4,0.9542426819546757,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,min_p,mean_ttr,3,0.9994051623538044,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,min_p,mean_mtld,3,0.9868599676539541,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,top_k,mean_ttr,4,0.9567377201363227,0.8,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,top_k,mean_mtld,4,0.9988082789839359,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,top_p,mean_ttr,4,0.9450260401147939,1.0,descriptive_only_n3_or_n4
google/gemma-3-12b-pt,1.0,top_p,mean_mtld,4,0.9607812601268596,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,min_p,mean_ttr,3,0.9581515271329888,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,min_p,mean_mtld,3,0.8090492315519969,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,top_k,mean_ttr,4,0.9173850117830856,0.8,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,top_k,mean_mtld,4,0.9767648238563659,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,top_p,mean_ttr,4,0.9765934579599841,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,0.7,top_p,mean_mtld,4,0.9858530569167743,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,min_p,mean_ttr,3,0.9615650817937991,0.5,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,min_p,mean_mtld,3,0.9548773596809704,0.5,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,top_k,mean_ttr,4,0.9989127835505388,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,top_k,mean_mtld,4,0.9898115372969005,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,top_p,mean_ttr,4,0.9989144867706669,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B,1.0,top_p,mean_mtld,4,0.9976849132865605,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,min_p,mean_ttr,3,0.7939105835676469,0.5,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,min_p,mean_mtld,3,0.9989108328529213,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,top_k,mean_ttr,4,0.772468369473797,1.0,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,top_k,mean_mtld,4,0.5170634173951321,0.4,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,top_p,mean_ttr,4,-0.42839304295348807,-0.23570226039551587,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,0.7,top_p,mean_mtld,4,-0.30763035764891916,0.0,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,min_p,mean_ttr,3,4.064815295125092e-14,nan,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,min_p,mean_mtld,3,5.311352303517879e-15,nan,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,top_k,mean_ttr,4,0.7522815889747088,0.8,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,top_k,mean_mtld,4,0.8335742247598212,0.8,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,top_p,mean_ttr,4,0.8500596243286065,0.8,descriptive_only_n3_or_n4
google/gemma-4-E4B-it,1.0,top_p,mean_mtld,4,0.7925197510635825,0.4,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,min_p,mean_ttr,3,0.8110385920874292,0.5,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,min_p,mean_mtld,3,-0.9958766584449499,-1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,top_k,mean_ttr,4,0.939247487620157,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,top_k,mean_mtld,4,0.9971410139947722,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,top_p,mean_ttr,4,0.9915981891639954,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,0.7,top_p,mean_mtld,4,0.9807731906506971,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,min_p,mean_ttr,3,0.9759279733455362,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,min_p,mean_mtld,3,0.9009446912558682,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,top_k,mean_ttr,4,0.8476250320602282,0.8,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,top_k,mean_mtld,4,0.8268033209604562,0.8,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,top_p,mean_ttr,4,0.9726615018593244,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B,1.0,top_p,mean_mtld,4,0.9189361961255901,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,min_p,mean_ttr,3,0.8867739301739272,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,min_p,mean_mtld,3,0.07971578361459856,0.5,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,top_k,mean_ttr,4,0.23366745645848339,0.2,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,top_k,mean_mtld,4,-0.22374247030939082,-0.2,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,top_p,mean_ttr,4,-0.7976802028762126,-0.8,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,0.7,top_p,mean_mtld,4,-0.9098111667925912,-1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,min_p,mean_ttr,3,0.9936512932590129,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,min_p,mean_mtld,3,0.9946714576417156,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,top_k,mean_ttr,4,0.711090875987234,0.8,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,top_k,mean_mtld,4,0.5743178888776538,0.8,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,top_p,mean_ttr,4,0.9772872736184604,1.0,descriptive_only_n3_or_n4
meta-llama/Llama-3.1-8B-Instruct,1.0,top_p,mean_mtld,4,0.9902802951600117,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,min_p,mean_ttr,3,0.981396555076458,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,min_p,mean_mtld,3,0.9727679045153362,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,top_k,mean_ttr,4,0.7680919573363426,0.4,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,top_k,mean_mtld,4,-0.7015781833189771,-0.8,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,top_p,mean_ttr,4,0.31359419715241127,0.6,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,0.7,top_p,mean_mtld,4,0.6667488726004522,0.8,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,min_p,mean_ttr,3,0.8784563040487797,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,min_p,mean_mtld,3,0.8587910211886357,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,top_k,mean_ttr,4,0.314916618279634,0.6,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,top_k,mean_mtld,4,0.3658890960360866,0.6,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,top_p,mean_ttr,4,0.6738183289716432,0.8,descriptive_only_n3_or_n4
mistralai/Mistral-7B-Instruct-v0.3,1.0,top_p,mean_mtld,4,0.671841379125118,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,min_p,mean_ttr,3,0.9999822259086991,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,min_p,mean_mtld,3,0.9121309391896372,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,top_k,mean_ttr,4,0.871360193552332,0.8,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,top_k,mean_mtld,4,0.9808921060492933,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,top_p,mean_ttr,4,0.906073690633286,0.9486832980505138,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,0.7,top_p,mean_mtld,4,0.9239011065327895,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,min_p,mean_ttr,3,0.9964049082712089,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,min_p,mean_mtld,3,0.9767337771169943,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,top_k,mean_ttr,4,0.9986573616652545,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,top_k,mean_mtld,4,0.9737528965298159,0.8,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,top_p,mean_ttr,4,0.797032035893854,1.0,descriptive_only_n3_or_n4
mistralai/Mistral-7B-v0.3,1.0,top_p,mean_mtld,4,0.8004659988283829,1.0,descriptive_only_n3_or_n4
