model_slug,metric,maximum,sample_id,temperature,decoder,parameter,text_preview
llama31-8b-base,ttr,0.85,sample-007039,1.0,untruncated,1.0,sex-party anthem is dominated by half-naked men jabbing their middle fingers at civilization their movements are proof of what happens when all the rest of your hormones leave your body you get cruel and wildly unpredictable they flair their hair with energy all the while performing these seemingly 
llama31-8b-base,mtld,186.66666666666669,sample-007039,1.0,untruncated,1.0,sex-party anthem is dominated by half-naked men jabbing their middle fingers at civilization their movements are proof of what happens when all the rest of your hormones leave your body you get cruel and wildly unpredictable they flair their hair with energy all the while performing these seemingly 
llama31-8b-instruct,ttr,0.95,sample-007039,1.0,top_p,0.99,girls girls girls is actually designed to worm its way into britney’s patented style of disgruntled monogamy not that it succeeds mind you ted nugent’s grease-mongered solo somehow foils motley crue’s boisterous marital scandal with enough rap-reflex credibility to awaken slade’s sharpening media bo
llama31-8b-instruct,mtld,174.99999999999997,sample-003320,1.0,top_k,50.0,me in record time the flavors danced on my tongue and the noodles were perfectly balanced i asked for his secret a sprinkle of paprika and sesame oil which i'm yet to recreate at home i'm still getting the hang of cooking i wandered off after lunch a little lost but finding my way into fushimi inari
mistral7b-v03-base,ttr,0.85,sample-004244,1.0,top_p,0.99,cabinet full of fabric that usually goes straight to the dog crate i guess my life got a lot less interesting once i made the decision to stop day-drinking so now i’m alllllllll about crafting home projects those tiny stroller tables you turn into coffee carts succulents in mismatched bowls and simi
mistral7b-v03-base,mtld,186.66666666666669,sample-004244,1.0,top_p,0.99,cabinet full of fabric that usually goes straight to the dog crate i guess my life got a lot less interesting once i made the decision to stop day-drinking so now i’m alllllllll about crafting home projects those tiny stroller tables you turn into coffee carts succulents in mismatched bowls and simi
mistral7b-v03-instruct,ttr,0.86,sample-001392,1.0,top_p,0.9,features include a green roof rainwater harvesting system and the use of low-voc paints and adhesives to promote indoor air quality the building's design also prioritizes natural light reducing the need for artificial lighting during daytime hours educational remodel hillside middle school science l
mistral7b-v03-instruct,mtld,200.0,sample-001392,1.0,top_p,0.9,features include a green roof rainwater harvesting system and the use of low-voc paints and adhesives to promote indoor air quality the building's design also prioritizes natural light reducing the need for artificial lighting during daytime hours educational remodel hillside middle school science l
qwen25-14b-base,ttr,0.84,sample-002070,1.0,top_p,0.99,control over his emotions he is wonderfully charming the entire cast is entirely convincing as they transform from one role often of a different character to the next all without the need of props costumes wigs or face makeup the music is notable tharp didn’t commission a large score but wove togeth
qwen25-14b-base,mtld,174.99999999999997,sample-002070,1.0,top_p,0.99,control over his emotions he is wonderfully charming the entire cast is entirely convincing as they transform from one role often of a different character to the next all without the need of props costumes wigs or face makeup the music is notable tharp didn’t commission a large score but wove togeth
qwen25-14b-instruct,ttr,0.91,sample-002894,1.0,untruncated,1.0,price tag for such comprehensive services and a high quality experience entry fees vary based upon division and age group ensuring affordability across different participant levels however almost all competitors agree that the value received far outweighs the cost boasting unbeatable amenities like 
qwen25-14b-instruct,mtld,311.11111111111126,sample-002894,1.0,untruncated,1.0,price tag for such comprehensive services and a high quality experience entry fees vary based upon division and age group ensuring affordability across different participant levels however almost all competitors agree that the value received far outweighs the cost boasting unbeatable amenities like 
qwen35-9b-base,ttr,0.89,sample-007039,1.0,untruncated,1.0,rock n roll hurdy-gurdy tune comes from track hurdy-gurdy the student of music turns about the song for the third time and sings you’re nothing special guess it’s like i told you all the girls are my girlfriends everybody’s famous around here though they do close out the ill luck suit with a ballad 
qwen35-9b-base,mtld,254.5454545454546,sample-007039,1.0,untruncated,1.0,rock n roll hurdy-gurdy tune comes from track hurdy-gurdy the student of music turns about the song for the third time and sings you’re nothing special guess it’s like i told you all the girls are my girlfriends everybody’s famous around here though they do close out the ill luck suit with a ballad 
qwen35-9b-instruct,ttr,0.9,sample-003320,1.0,top_k,20.0,thinking process analyze the request task continue the provided passage length at least words constraints preserve language topic style and coherence output only the continuation no introductions or meta-talk input passage a travel journal entry first-person informal british english hints like gobsm
qwen35-9b-instruct,mtld,280.00000000000006,sample-003320,1.0,top_k,20.0,thinking process analyze the request task continue the provided passage length at least words constraints preserve language topic style and coherence output only the continuation no introductions or meta-talk input passage a travel journal entry first-person informal british english hints like gobsm
