temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
0.7,google/gemma-3-27b-pt,top_p,0.8,0.053,53,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.85,0.069,69,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.9,0.089,89,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.95,0.132,132,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.99,0.255,255,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.01,0.153,153,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.02,0.125,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.03,0.118,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.04,0.113,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.05,0.101,101,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.06,0.097,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.07,0.089,89,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.08,0.089,89,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.09,0.088,88,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,min_p,0.1,0.081,81,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,1.0,0.032,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,2.0,0.054,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,3.0,0.079,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,4.0,0.097,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,6.0,0.126,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,8.0,0.148,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,9.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,10.0,0.177,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,11.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,12.0,0.194,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,13.0,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,14.0,0.207,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,15.0,0.217,217,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,16.0,0.223,223,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,17.0,0.233,233,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,18.0,0.241,241,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,19.0,0.243,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,20.0,0.249,249,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.5,0.041,41,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.55,0.05,50,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.6,0.063,63,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.65,0.079,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.7,0.096,96,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.75,0.118,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.8,0.148,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.85,0.192,192,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.9,0.258,258,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.95,0.356,356,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.99,0.605,605,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.01,0.243,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.02,0.206,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.03,0.183,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.04,0.153,153,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.05,0.143,143,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.06,0.131,131,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.07,0.125,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.08,0.122,122,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.09,0.118,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.1,0.113,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,1.0,0.032,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,2.0,0.054,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,3.0,0.079,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,4.0,0.097,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,6.0,0.126,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,8.0,0.148,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,9.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,10.0,0.177,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,11.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,12.0,0.194,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,13.0,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,14.0,0.207,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,15.0,0.217,217,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,16.0,0.223,223,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,17.0,0.233,233,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,18.0,0.241,241,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,19.0,0.243,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,20.0,0.249,249,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.5,0.255,255,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.55,0.296,296,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.6,0.355,355,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.65,0.412,412,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.7,0.482,482,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.75,0.552,552,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.8,0.638,638,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.85,0.735,735,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.9,0.817,817,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.95,0.915,915,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.99,0.992,992,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.01,0.392,392,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.02,0.32,320,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.03,0.288,288,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.04,0.258,258,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.05,0.236,236,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.06,0.224,224,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.07,0.206,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.08,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.09,0.183,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.1,0.171,171,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
